公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1809,中釉,189192,178576,84378,5.94,124.21,886477,699301,26.76,去年受新冠肺炎(COVID-19)疫情影響，主要銷售國家封城，無法出貨。
1817,凱撒衛,199880,205788,190548,-2.87,4.89,965860,865057,11.65,-
1904,正隆,3929849,3720469,2844762,5.62,38.14,17937105,15098137,18.8,-
1906,寶隆,33531,13997,86731,139.55,-61.33,128483,572677,-77.56,代理銷售工業用紙之噸數減少
1909,榮成,5212273,3813448,3237743,36.68,60.98,20178674,13096077,54.08,大陸工紙增加銷售量
2006,東和鋼鐵,4969569,5071187,3207382,-2.0,54.94,22908831,16282943,40.69,本公司受國際鋼價走揚及市場需求影響，銷售價格及數量均較為成長;子公司-東鋼越南自有品牌發酵後帶動訂單挹注，營收穩定成長。
2007,燁興,602404,552310,441230,9.06,36.52,2827308,2366812,19.45,-
2008,高興昌,130587,127751,67167,2.21,94.42,532003,338828,57.01,主要係本月銷售價格上揚
2009,第一銅,270259,242517,176158,11.43,53.41,1201926,920463,30.57,主係因半導體與汽車產業需求增加致出貨量增加及國際銅價上漲
2013,中鋼構,1180440,1083852,1082568,8.91,9.04,5802729,5343028,8.6,-
2014,中鴻,4551071,4011635,2336305,13.44,94.79,19393228,14972861,29.52,本月銷售量及售價皆較去年同月增加，致營業收入增加。
2015,豐興,3405947,2969908,2178457,14.68,56.34,14271529,10970547,30.08,主係景氣復甦，原物料上漲，銷售數量及價格分別較去年同期上漲21%及30%，使110年5月營業收入較去年同期大幅成長。
2017,官田鋼,369782,406409,218516,-9.01,69.22,1803965,1197478,50.64,鋼市行情上漲，價格提高
2020,美亞,564219,505460,428547,11.62,31.65,2433598,2028287,19.98,-
2022,聚亨,1237469,905818,654742,36.61,89.0,5116522,3462522,47.76,因新冠炎疫情影響，造成材料及貨櫃短缺、煤鐵礦原料價格高檔，市場搶料及缺料，促使鋼價不斷往上攀升，致使營收大幅提升
2023,燁輝,7556716,7040344,4193667,7.33,80.19,33274426,21019226,58.3,銷售量及售價皆明顯較去年同期提升所致
2027,大成鋼,8127299,8504918,3813270,-4.44,113.13,37653903,23769516,58.41,因美國市場需求暢旺所致
2028,威致,1168458,1002548,694878,16.54,68.15,4939778,3190661,54.81,景氣回升好轉，故營收增加
2030,彰源,1308810,1131432,835192,15.67,56.7,5419263,4111198,31.81,主要係歐美疫情趨緩及國內客戶需求增加所致
2031,新光鋼,1372935,1187740,682896,15.59,101.04,5795097,3562492,62.66,本月及本年累積營收較去年同期增加50%以上，主要係鋼鐵需求量增加及價格上漲所致。
2032,新鋼,350601,276624,262843,26.74,33.38,1486353,1233605,20.48,-
2033,佳大,78403,68627,58001,14.24,35.17,342592,311882,9.84,-
2034,允強,1440575,1268314,1004758,13.58,43.37,6100611,5688421,7.24,-
2069,運錩,1235547,975613,574928,26.64,114.9,4743253,2734448,73.46,主要係鋼鐵需求量增加及價格上漲所致。
3004,豐達科,107407,89725,115790,19.7,-7.23,528924,915429,-42.22,-
5538,東明-KY,1084626,1064577,792623,1.88,36.84,4622870,3187263,45.04,-
9958,世紀鋼,1045395,609554,373444,71.5,179.93,3319066,1917399,73.1,本月增加百分比達50%以上，主因風力事業陸續投產，影響收入較同期增加。
2101,南港,665562,629066,653096,5.8,1.9,3495703,3276472,6.69,"本公告係屬自結數,與會計師所出具之財報因匯率之故將存有略微差異,屆時請以財報為準."
2103,台橡,2815223,3011563,1680718,-6.51,67.5,14043597,10123838,38.71,109年受疫情影響營業額遽減，110年恢復正常
2105,正新,8450749,8748853,7365921,-3.4,14.72,44691289,33572899,33.11,無。
2107,厚生,246796,232755,214228,6.03,15.2,1413964,1346185,5.03,-
2108,南帝,2400094,2628840,978470,-8.7,145.29,11983062,4576072,161.86,主係銷售量值增加
2109,華豐,491349,445936,276875,10.18,77.46,2254236,1721555,30.94,因疫情因素，致使109年5月營收驟降。
2114,鑫永銓,167561,166373,132272,0.71,26.67,749320,641658,16.77,-
6582,申豐,982780,832321,365715,18.07,168.72,4113764,1635369,151.54,主係銷售單價調升
1319,東陽,1382944,1463614,1023551,-5.51,35.11,7364894,6836318,7.73,-
1338,廣華-KY,441840,557726,399029,-20.77,10.72,2774893,1830316,51.6,主要去年同期受疫情影響復工延緩
1524,耿鼎,165284,121778,109404,35.72,51.07,747471,750097,-0.35,去年同期受新冠肺炎疫情影響，營收大幅減少。
1533,車王電,257699,229800,150233,12.14,71.53,1059609,895487,18.32,「本期營收增加，係因電動巴士及汽車電子市場突破且穩定成長。」
1568,倉佑,120537,155613,104524,-22.54,15.31,746158,607002,22.92,-
1587,吉茂,195806,221466,105127,-11.58,86.25,951881,565870,68.21,公司接單狀況良好
